,Country,Oldest_avg(C),Newest_avg(C),Temperature_change(C),Lifetime_Emissions(tons/capita)
0,Afghanistan,13.985416666666667,14.616064043209876,0.6306473765432088,8.813540590540661
1,Albania,13.335083333333332,13.07112114197531,-0.2639621913580221,97.96554015666864
2,Algeria,23.504083333333337,23.586074074074077,0.0819907407407392,140.54515944493374
3,Andorra,11.214,11.751256944444444,0.5372569444444437,196.5663937150541
4,Angola,21.927083333333332,22.21164429012346,0.28456095679012705,40.56487467556881
5,Argentina,14.99366666666667,15.080391203703705,0.08672453703703553,209.13266406388345
6,Armenia,9.273249999999999,9.326101851851853,0.05285185185185348,52.41407257393443
7,Aruba,28.253583333333335,28.40245679012346,0.14887345679012398,5522.394865589375
8,Australia,21.2105,22.01692361111111,0.8064236111111107,869.7567399525168
9,Austria,6.527083333333333,6.808420524691359,0.28133719135802604,430.78720866388295
10,Azerbaijan,11.738000000000001,11.988256944444444,0.2502569444444429,132.193175019707
11,Bahrain,26.266500000000004,26.504317129629634,0.23781712962962942,1162.0567589840086
12,Bangladesh,25.48425,25.295189814814815,-0.18906018518518408,13.437815036753523
13,Barbados,26.926416666666665,26.979449845679014,0.05303317901234905,215.9297965858344
14,Belarus,6.464583333333334,6.536807098765433,0.07222376543209919,182.5097451931015
15,Belgium,9.98875,10.040968364197532,0.05221836419753245,652.8730086460752
16,Belize,25.351583333333338,25.528598765432097,0.17701543209875936,90.279279934502
17,Benin,27.203999999999997,27.5501875,0.34618750000000276,13.112052595613742
18,Bhutan,12.42525,12.239486882716049,-0.18576311728395112,23.57949985291951
19,Bolivia,20.5945,21.294351080246912,0.699851080246912,56.238094187240684
20,Botswana,22.15133333333333,22.308516975308642,0.15718364197531187,86.16536940606036
21,Brazil,24.75266666666667,25.23104398148148,0.4783773148148107,87.68402869603389
22,British Virgin Islands,26.917083333333334,26.840393518518518,-0.07668981481481651,66.1671483593644
23,Bulgaria,11.248083333333335,11.011935956790124,-0.2361473765432116,413.64882683323304
24,Burkina Faso,28.132083333333338,28.513018518518518,0.3809351851851801,4.539401577928079
25,Burundi,20.02483333333333,20.428104938271606,0.40327160493827563,1.8288454945911896
26,Cambodia,27.172416666666667,27.113957561728395,-0.05845910493827233,9.614116221534314
27,Cameroon,24.507749999999998,24.690579475308642,0.1828294753086439,18.42059226877314
28,Canada,-4.406833333333333,-4.371327160493827,0.03550617283950608,924.002981679682
29,Cayman Islands,27.03891666666667,27.175170781893005,0.13625411522633613,168.30149469767935
30,Central African Republic,25.402500000000003,25.601766203703704,0.19926620370370074,3.8422007527549917
31,Chad,27.5235,27.475770061728394,-0.047729938271604766,3.0736348311972805
32,Chile,9.754166666666668,9.818039351851851,0.06387268518518319,166.82628916278114
33,China,6.890916666666666,7.179092592592593,0.2881759259259269,166.27474066202694
34,Colombia,24.946833333333334,25.212614197530865,0.2657808641975308,87.3786252404428
35,Comoros,25.66775,26.089514660493826,0.42176466049382455,9.217294343475274
36,Costa Rica,25.896416666666667,26.062973251028808,0.16655658436214082,65.28067399576521
37,Croatia,11.842999999999998,11.8827237654321,0.0397237654321021,121.30104830153171
38,Cuba,25.53383333333333,25.85260236625514,0.3187690329218107,147.48707243647578
39,Cyprus,19.935833333333335,19.320810956790123,-0.6150223765432123,304.88215228432176
40,Czech Republic,7.952916666666667,8.235455246913581,0.28253858024691425,331.49248754379175
41,Denmark,-16.951083333333333,-17.515356481481483,-0.5642731481481498,592.4202226652067
42,Djibouti,28.701166666666666,29.183716049382717,0.4825493827160514,40.18058571571594
43,Dominica,26.603083333333334,26.626528549382716,0.023445216049381656,74.70715158499975
44,Dominican Republic,26.08375,26.059609567901234,-0.02414043209876482,83.80759055391721
45,Ecuador,21.8235,22.25603163580247,0.43253163580246934,91.87160094027543
46,El Salvador,25.036166666666663,25.39213940329218,0.3559727366255174,40.43147399166452
47,Equatorial Guinea,25.14491666666667,25.266788580246914,0.12187191358024307,174.85637244871714
48,Eritrea,27.01058333333333,27.123572530864198,0.11298919753086878,6.499056376710768
49,Estonia,4.910833333333333,5.506,0.5951666666666675,378.3866992356608
50,Ethiopia,22.94241666666667,23.350669753086418,0.408253086419748,3.4903334765007616
51,Faroe Islands,7.498500000000001,7.042193672839506,-0.4563063271604948,225.23776565911746
52,Fiji,25.16991666666667,25.406162808641973,0.2362461419753039,66.05998220642188
53,Finland,1.7759166666666673,1.8992692901234567,0.12335262345678943,567.5611155569028
54,France,13.027666666666667,13.328951388888889,0.30128472222222236,396.96811555570395
55,French Polynesia,26.151416666666673,26.485959104938274,0.33454243827160113,55.30763495773285
56,Gabon,24.530833333333337,24.59129012345679,0.060456790123453175,257.53894957393425
57,Georgia,8.761249999999999,8.871139660493826,0.10988966049382753,59.07764533188711
58,Germany,8.514166666666666,8.75380864197531,0.2396419753086434,290.2516743584009
59,Ghana,26.825416666666666,27.10897222222222,0.2835555555555551,17.761540768066318
60,Greece,15.506083333333331,15.221,-0.2850833333333309,348.13362162147934
61,Greenland,-17.46425,-18.04863888888889,-0.5843888888888884,279.4882781342412
62,Grenada,27.20891666666667,27.264935956790122,0.056019290123451526,86.45933024586591
63,Guatemala,23.355833333333333,23.593628086419752,0.23779475308641906,36.77008099760637
64,Guinea,25.634666666666664,25.92313888888889,0.2884722222222251,11.224579353165257
65,Guyana,26.158333333333335,26.439248456790125,0.28091512345678993,120.64635211084328
66,Haiti,26.78158333333333,26.79416769547325,0.012584362139918426,8.93582105720389
67,Honduras,24.902,25.191353395061725,0.289353395061724,38.926650883842946
